교유번호,명칭,파일경로,위도,경도
147,옥수역 지하철 중앙선,성동광진구한강길.kmz,37.54031,127.01858349999999
148,옥수역 인근,성동광진구한강길.kmz,37.540757299999996,127.0192023
149,응봉역 지하철 중앙선,성동광진구한강길.kmz,37.5498018,127.0342476
150,서울숲 인근,성동광진구한강길.kmz,37.5397395,127.03627820000001
151,영동대교 인근,성동광진구한강길.kmz,37.532717,127.0590538
152,뚝섬유원지역 지하철 7호선,성동광진구한강길.kmz,37.531113299999994,127.0664605
153,뚝섬유원지,성동광진구한강길.kmz,37.5291449,127.069428
154,뚝섬유원지 잠실대교 인근,성동광진구한강길.kmz,37.5268549,127.08118710000001
155,동서울터미널 인근,성동광진구한강길.kmz,37.533267200000004,127.0954514
156,올림픽대교 강변북로 인근,성동광진구한강길.kmz,37.540584499999994,127.1040527
157,쉐라톤워커힐호텔 인근,성동광진구한강길.kmz,37.5561846,127.11328459999999
7,한강홍수통제소 인근,강남서초한강길.kmz,37.5054945,126.9815107
8,달빛광장 인근,강남서초한강길.kmz,37.5128395,127.0001018
9,성수대교 인근,강남서초한강길.kmz,37.5343914,127.0307693
10,한양8차아파트 인근,강남서초한강길.kmz,37.531113899999994,127.04281259999999
11,구산아파트 인근,강남서초한강길.kmz,37.5275586,127.0546637
12,청담도로공원 인근,강남서초한강길.kmz,37.5208735,127.06438529999998
21,서울도시철도공사방화차량기지 인근,강서한강길.kmz/임시 장소,37.5906503,126.8082821
22,강서습지생태공원 인근,강서한강길.kmz/임시 장소,37.586169399999996,126.8184115
23,축구장 인근,강서한강길.kmz/임시 장소,37.5831895,126.8235433
24,양천향교 인근,강서한강길.kmz/임시 장소,37.5761314,126.84127
25,가양역 인근,강서한강길.kmz/임시 장소,37.566028100000004,126.8587281
50,패쇄형늪지 인근,마포한강길.kmz,37.573656,126.86609399999999
51,난지한강공원 인근,마포한강길.kmz,37.5694005,126.8714137
52,망원초록길 인근,마포한강길.kmz,37.5520128,126.90007709999999
53,한강시민공원망원지구 인근,마포한강길.kmz,37.547895700000005,126.9054608
54,강변북로 인근,마포한강길.kmz,37.542906,126.91591059999999
55,밤섬,마포한강길.kmz,37.5402398,126.9262783
56,마포대교 인근,마포한강길.kmz,37.5377623,126.9412203
58,난지한강공원,마포한강길.kmz,37.5693292,126.8739773
308,당산역 지하철 29호선,영등포동작구한강길.kmz,37.5347055,126.90257199999999
300,선유도 인근,영등포동작구한강길.kmz,37.54281760000001,126.8962976
310,대방역 지하철 1호선,영등포동작구한강길.kmz,37.5132828,126.92615430000001
312,한강시민공원 이촌지구 인근,용산한강길.kmz,37.5209652,126.9597875
313,서빙고역 반포대교 인근,용산한강길.kmz,37.5171536,126.99124440000001
314,한남역 인근,용산한강길.kmz,37.52790460000001,127.00631159999999
315,선유도,영등포동작구한강길.kmz,37.5433805,126.9002894
316,마포대교 원효대교 인근,용산한강길.kmz,37.5323744,126.94896729999999
317,한남역 지하철 중안선,용산한강길.kmz,37.5294619,127.00926709999999
319,서래섬,용산한강길.kmz,37.5077125,126.9895793
320,세빛둥둥섬,용산한강길.kmz,37.5119234,126.99550900000001
321,노들섬,용산한강길.kmz,37.5177847,126.9581764
175,잠실대교 인근,송파강동 한강길.kmz,37.521154700000004,127.09655819999999
176,한강공원광나루지구 인근,송파강동 한강길.kmz,37.5283499,127.1070841
177,광나루자전거공원 인근,송파강동 한강길.kmz,37.544845200000005,127.11944140000001
178,암사동선사주거지 인근,송파강동 한강길.kmz,37.562804799999995,127.12953540000001
216,서울숲 인근,성동광진구한강길.kmz,37.54168610000001,127.0288166
217,뚝섬유원지 인근,성동광진구한강길.kmz,37.5304851,127.06624740000002
218,강변역 지하철 2호선,성동광진구한강길.kmz,37.534679700000005,127.09498090000001
222,잠실한강공원 인근,송파강동 한강길.kmz,37.5194129,127.0711709
223,고덕천 인근,송파강동 한강길.kmz,37.5707205,127.15766540000001
232,나이아가라 호텔,영등포동작구한강길.kmz,37.553361100000004,126.87901699999999
233,국립현충원 인근,영등포동작구한강길.kmz,37.5048659,126.97588540000001
234,흑석역 지하철 9호선,영등포동작구한강길.kmz,37.5085557,126.96353870000002
235,동작대교 인근,용산한강길.kmz,37.515546,126.9755555
253,한강공원잠원지구 인근,강남서초한강길.kmz,37.5238776,127.01393929999999
257,염창동동아아파트 인근,강서한강길.kmz/임시 장소,37.5569891,126.87268940000001
263,상암선착장 인근,마포한강길.kmz,37.5612983,126.8858972
264,서강대교 강변북로 인근,마포한강길.kmz,37.5428636,126.9301574
302,여의나루역수상택시승강장 인근,영등포동작구한강길.kmz,37.5273914,126.9322308
303,노들섬 인근,영등포동작구한강길.kmz,37.5133997,126.9579054
306,조선이흠례 묘지 인근,영등포동작구한강길.kmz,37.51343189999999,126.92655649999999
